#  E (eV)   dos(E)     Int dos(E)
  2.174  0.2921E+00  0.1194E+01
  2.184  0.3338E+00  0.1197E+01
  2.194  0.3382E+00  0.1201E+01
  2.204  0.3039E+00  0.1204E+01
  2.214  0.2422E+00  0.1206E+01
  2.224  0.1712E+00  0.1208E+01
  2.234  0.1073E+00  0.1209E+01
  2.244  0.5966E-01  0.1209E+01
  2.254  0.2941E-01  0.1210E+01
  2.264  0.1286E-01  0.1210E+01
  2.274  0.4993E-02  0.1210E+01
  2.284  0.1739E-02  0.1210E+01
  2.294  0.6233E-03  0.1210E+01
  2.304  0.5223E-03  0.1210E+01
  2.314  0.1321E-02  0.1210E+01
  2.324  0.3866E-02  0.1210E+01
  2.334  0.1027E-01  0.1210E+01
  2.344  0.2424E-01  0.1210E+01
  2.354  0.5085E-01  0.1211E+01
  2.364  0.9486E-01  0.1212E+01
  2.374  0.1577E+00  0.1213E+01
  2.384  0.2346E+00  0.1216E+01
  2.394  0.3142E+00  0.1219E+01
  2.404  0.3831E+00  0.1223E+01
  2.414  0.4318E+00  0.1227E+01
  2.424  0.4588E+00  0.1232E+01
  2.434  0.4682E+00  0.1236E+01
  2.444  0.4632E+00  0.1241E+01
  2.454  0.4419E+00  0.1245E+01
  2.464  0.3998E+00  0.1249E+01
  2.474  0.3362E+00  0.1253E+01
  2.484  0.2584E+00  0.1255E+01
  2.494  0.1793E+00  0.1257E+01
  2.504  0.1115E+00  0.1258E+01
  2.514  0.6187E-01  0.1259E+01
  2.524  0.3054E-01  0.1259E+01
  2.534  0.1340E-01  0.1259E+01
  2.544  0.5215E-02  0.1259E+01
  2.554  0.1802E-02  0.1259E+01
  2.564  0.5523E-03  0.1259E+01
  2.574  0.1502E-03  0.1259E+01
  2.584  0.3621E-04  0.1259E+01
  2.594  0.7744E-05  0.1259E+01
  2.604  0.1469E-05  0.1259E+01
  2.614  0.2490E-06  0.1259E+01
  2.624  0.5190E-07  0.1259E+01
  2.634  0.1112E-06  0.1259E+01
  2.644  0.6676E-06  0.1259E+01
  2.654  0.3712E-05  0.1259E+01
  2.664  0.1832E-04  0.1259E+01
  2.674  0.8020E-04  0.1259E+01
  2.684  0.3113E-03  0.1259E+01
  2.694  0.1072E-02  0.1259E+01
  2.704  0.3273E-02  0.1259E+01
  2.714  0.8864E-02  0.1259E+01
  2.724  0.2129E-01  0.1260E+01
  2.734  0.4535E-01  0.1260E+01
  2.744  0.8567E-01  0.1261E+01
  2.754  0.1435E+00  0.1262E+01
  2.764  0.2133E+00  0.1264E+01
  2.774  0.2810E+00  0.1267E+01
  2.784  0.3285E+00  0.1271E+01
  2.794  0.3405E+00  0.1274E+01
  2.804  0.3130E+00  0.1277E+01
  2.814  0.2552E+00  0.1280E+01
  2.824  0.1845E+00  0.1282E+01
  2.834  0.1183E+00  0.1283E+01
  2.844  0.6729E-01  0.1283E+01
  2.854  0.3394E-01  0.1284E+01
  2.864  0.1518E-01  0.1284E+01
  2.874  0.6024E-02  0.1284E+01
  2.884  0.2120E-02  0.1284E+01
  2.894  0.6614E-03  0.1284E+01
  2.904  0.1830E-03  0.1284E+01
  2.914  0.4493E-04  0.1284E+01
  2.924  0.9780E-05  0.1284E+01
  2.934  0.1888E-05  0.1284E+01
  2.944  0.3233E-06  0.1284E+01
  2.954  0.4909E-07  0.1284E+01
  2.964  0.6626E-08  0.1284E+01
  2.974  0.9432E-09  0.1284E+01
  2.984  0.1534E-08  0.1284E+01
  2.994  0.1217E-07  0.1284E+01
  3.004  0.9050E-07  0.1284E+01
  3.014  0.5973E-06  0.1284E+01
  3.024  0.3498E-05  0.1284E+01
  3.034  0.1817E-04  0.1284E+01
  3.044  0.8374E-04  0.1284E+01
